message_id,source,source_url,date,topic,issue_area,message_type,wording,support_pct,oppose_pct,net_score,preference_effect,effect_scale,sample_size,methodology,population,moe,tags,notes,dem_all
NAV_20250407_001,Navigator Research,https://navigatorresearch.org/,2025-04-07,economy,,tested_message,Congress should take back its power and control over how tariffs are used feel this way strongly,40.0,,,,,1000,online_panel,registered_voters,3.1,navigator;economy,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question TARIFFS3. - side 1. Field: 2025-04-07.",Dem:71.0%;Ind:38.0%;Rep:9.0%;AfrAm:51.0%;Hisp:38.0%;White:39.0%;AAPI:37.0%
NAV_20250407_002,Navigator Research,https://navigatorresearch.org/,2025-04-07,economy,,tested_message,Congress should take back its power and control over how tariffs are used feel this way somewhat,15.0,,,,,1000,online_panel,registered_voters,3.1,navigator;economy,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question TARIFFS3. - side 2. Field: 2025-04-07.",Dem:15.0%;Ind:15.0%;Rep:16.0%;AfrAm:16.0%;Hisp:17.0%;White:14.0%;AAPI:26.0%
NAV_20250407_003,Navigator Research,https://navigatorresearch.org/,2025-04-07,immigration,,tested_message,"Those who say we must secure the border, but also provide a pathway to citizenship for immigrants who have been here for many years and pass a background check.",54.0,,,,,1000,online_panel,registered_voters,3.1,navigator;immigration,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question Q32A. - side 1. Field: 2025-04-07.",Dem:80.0%;Ind:52.0%;Rep:29.0%;AfrAm:64.0%;Hisp:62.0%;White:51.0%;AAPI:62.0%
NAV_20250407_004,Navigator Research,https://navigatorresearch.org/,2025-04-07,immigration,,tested_message,Those who say illegal immigration has been too high for too long and so we must secure our country by significantly increasing border security and deporting violent criminals who do not belong here.,46.0,,,,,1000,online_panel,registered_voters,3.1,navigator;immigration,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question Q32A. - side 2. Field: 2025-04-07.",Dem:20.0%;Ind:48.0%;Rep:71.0%;AfrAm:36.0%;Hisp:38.0%;White:49.0%;AAPI:38.0%
NAV_20250407_005,Navigator Research,https://navigatorresearch.org/,2025-04-07,immigration,,tested_message,Those who say our immigration system has been broken for far too long. We must fix it by both securing the border and providing a pathway to citizenship for immigrants who have been here for many years and pass a background check.,60.0,,,,,1000,online_panel,registered_voters,3.1,navigator;immigration,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question Q32B. - side 1. Field: 2025-04-07.",Dem:82.0%;Ind:56.0%;Rep:37.0%;AfrAm:72.0%;Hisp:68.0%;White:56.0%;AAPI:62.0%
NAV_20250407_006,Navigator Research,https://navigatorresearch.org/,2025-04-07,immigration,,tested_message,Those who say illegal immigration has been too high for too long and so we must secure our country by significantly increasing border security and deporting violent criminals who do not belong here.,40.0,,,,,1000,online_panel,registered_voters,3.1,navigator;immigration,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question Q32B. - side 2. Field: 2025-04-07.",Dem:18.0%;Ind:44.0%;Rep:63.0%;AfrAm:28.0%;Hisp:32.0%;White:44.0%;AAPI:38.0%
NAV_20250407_007,Navigator Research,https://navigatorresearch.org/,2025-04-07,economy,,tested_message,"Those who say we need to make sure the rich and big corporations pay their fair share in taxes, so that we can invest in the middle class and working families who are struggling to get by.",59.0,,,,,1000,online_panel,registered_voters,3.1,navigator;economy,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question Q33A. - side 1. Field: 2025-04-07.",Dem:80.0%;Ind:56.0%;Rep:37.0%;AfrAm:62.0%;Hisp:56.0%;White:58.0%;AAPI:66.0%
NAV_20250407_008,Navigator Research,https://navigatorresearch.org/,2025-04-07,economy,,tested_message,"Those who say we need fewer regulations and lower taxes, so that businesses can continue to invest and create jobs, and so that American families can more easily afford to get by.",41.0,,,,,1000,online_panel,registered_voters,3.1,navigator;economy,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question Q33A. - side 2. Field: 2025-04-07.",Dem:20.0%;Ind:44.0%;Rep:63.0%;AfrAm:38.0%;Hisp:44.0%;White:42.0%;AAPI:34.0%
NAV_20250407_009,Navigator Research,https://navigatorresearch.org/,2025-04-07,economy,,tested_message,"Those who say for far too long, our tax system has been rigged in favor of the rich while hurting the middle class. We need to rewrite that system to make sure the rich and big corporations pay their fair share in taxes, so that we can invest in the middle class and working families who are struggling to get by.",68.0,,,,,1000,online_panel,registered_voters,3.1,navigator;economy,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question Q33B. - side 1. Field: 2025-04-07.",Dem:85.0%;Ind:71.0%;Rep:49.0%;AfrAm:78.0%;Hisp:78.0%;White:66.0%;AAPI:57.0%
NAV_20250407_010,Navigator Research,https://navigatorresearch.org/,2025-04-07,economy,,tested_message,"Those who say we need fewer regulations and lower taxes, so that businesses can continue to invest and create jobs, and so that American families can more easily afford to get by.",32.0,,,,,1000,online_panel,registered_voters,3.1,navigator;economy,"From Navigator topline Navigator-Topline-F04.07.25_extracted.txt, question Q33B. - side 2. Field: 2025-04-07.",Dem:15.0%;Ind:29.0%;Rep:51.0%;AfrAm:22.0%;Hisp:22.0%;White:34.0%;AAPI:43.0%
